period,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref,h,Dc3.globalCATWNZ,Dc3.ChinaTurkey,Dc3.ItalyJapan,clin,Vc,Vref,f1,f3,f4,f5,f6,f7,R1,R2,DfR,DfV,V1,V2,phi1,phi2,tau1,tau2
-1,5.0370E+00,5.0780E+00,4.8490E+00,5.0330E+00,1.0730E+00,-1.5360E-01,2.2520E-01,6.2,-1.2430E+00,1.4890E-01,-3.4400E-03,4.5,1,5.3,0.0000E+00,4.3450E-03,-3.3000E-04,-8.4000E-01,1300.00,760,0,0.1,-1.0000E-01,-8.4400E-03,-9.9000E+00,-9.9000E+00,105.00,272.00,0.082,0.080,225,300,0.644,0.552,0.401,0.346
0,4.4730E-01,4.8560E-01,2.4590E-01,4.5390E-01,1.4310E+00,5.0530E-02,-1.6620E-01,5.5,-1.1340E+00,1.9170E-01,-8.0880E-03,4.5,1,4.5,0.0000E+00,2.8576E-03,-2.5500E-03,-6.0000E-01,1500.00,760,0,0.1,-1.5000E-01,-7.0100E-03,-9.9000E+00,-9.9000E+00,110.00,270.00,0.100,0.070,225,300,0.695,0.495,0.398,0.348
0.01,4.5340E-01,4.9160E-01,2.5190E-01,4.5990E-01,1.4210E+00,4.9320E-02,-1.6590E-01,5.5,-1.1340E+00,1.9160E-01,-8.0880E-03,4.5,1,4.5,0.0000E+00,2.8159E-03,-2.4367E-03,-6.0372E-01,1500.20,760,0,0.1,-1.4833E-01,-7.0100E-03,-9.9000E+00,-9.9000E+00,111.67,270.00,0.096,0.070,225,300,0.698,0.499,0.402,0.345
0.02,4.8598E-01,5.2359E-01,2.9707E-01,4.8875E-01,1.4331E+00,5.3388E-02,-1.6561E-01,5.5,-1.1394E+00,1.8962E-01,-8.0740E-03,4.5,1,4.5,0.0000E+00,2.7795E-03,-2.3400E-03,-5.7388E-01,1500.36,760,0,0.1,-1.4710E-01,-7.2800E-03,-9.9000E+00,-9.9000E+00,113.10,270.00,0.092,0.030,225,300,0.702,0.502,0.409,0.346
0.022,4.9866E-01,5.3647E-01,3.1347E-01,4.9973E-01,1.4336E+00,5.4888E-02,-1.6520E-01,5.5,-1.1405E+00,1.8924E-01,-8.0950E-03,4.5,1,4.5,0.0000E+00,2.7597E-03,-2.2886E-03,-5.6675E-01,1500.68,760,0,0.1,-1.4801E-01,-7.3200E-03,-9.9000E+00,-9.9000E+00,113.37,270.00,0.088,0.027,225,300,0.707,0.505,0.418,0.349
0.025,5.2283E-01,5.6130E-01,3.4426E-01,5.1999E-01,1.4328E+00,5.7529E-02,-1.6499E-01,5.5,-1.1419E+00,1.8875E-01,-8.1530E-03,4.5,1,4.5,0.0000E+00,2.7542E-03,-2.2500E-03,-5.5520E-01,1501.04,760,0,0.1,-1.5015E-01,-7.3600E-03,-9.9000E+00,-9.9000E+00,113.07,270.00,0.086,0.026,225,300,0.711,0.508,0.427,0.354
0.029,5.5949E-01,5.9923E-01,3.9146E-01,5.4995E-01,1.4279E+00,6.0732E-02,-1.6632E-01,5.5,-1.1423E+00,1.8844E-01,-8.2900E-03,4.5,1,4.5,0.0000E+00,2.7616E-03,-2.2145E-03,-5.3850E-01,1501.26,760,0,0.1,-1.5387E-01,-7.3700E-03,-9.9000E+00,-9.9000E+00,112.36,270.00,0.084,0.028,225,300,0.716,0.510,0.436,0.359
0.03,5.6916E-01,6.0920E-01,4.0391E-01,5.5783E-01,1.4261E+00,6.1444E-02,-1.6690E-01,5.5,-1.1421E+00,1.8842E-01,-8.3360E-03,4.5,1,4.49,0.0000E+00,2.7646E-03,-2.1676E-03,-5.3414E-01,1502.95,760,0,0.1,-1.5485E-01,-7.3500E-03,-9.9000E+00,-9.9000E+00,112.13,270.00,0.081,0.029,225,300,0.721,0.514,0.445,0.364
0.032,5.8802E-01,6.2875E-01,4.2788E-01,5.7330E-01,1.4227E+00,6.2806E-02,-1.6813E-01,5.5,-1.1412E+00,1.8840E-01,-8.4450E-03,4.5,1,4.45,0.0000E+00,2.7691E-03,-2.1167E-03,-5.2529E-01,1503.12,760,0,0.1,-1.5685E-01,-7.3100E-03,-9.9000E+00,-9.9000E+00,111.65,270.00,0.078,0.030,225,300,0.726,0.516,0.454,0.369
0.035,6.1636E-01,6.5818E-01,4.6252E-01,5.9704E-01,1.4174E+00,6.4559E-02,-1.7015E-01,5.5,-1.1388E+00,1.8839E-01,-8.6420E-03,4.5,1,4.4,0.0000E+00,2.7837E-03,-2.0957E-03,-5.1192E-01,1503.24,760,0,0.1,-1.6016E-01,-7.2100E-03,-9.9000E+00,-9.9000E+00,110.64,270.00,0.077,0.031,225,300,0.730,0.518,0.462,0.374
