 Crustal model (free format) - Shuo Ma
 number of layers:
         400
 Parameters of the layers
 depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
  0.00000E+00  0.20602E+01  0.75000E+00  0.25000E+01  0.10000E+04  0.10000E+04
  0.20000E-01  0.23446E+01  0.82858E+00  0.25256E+01  0.10000E+04  0.10000E+04
  0.40000E-01  0.25665E+01  0.10233E+01  0.25456E+01  0.10000E+04  0.10000E+04
  0.60000E-01  0.27465E+01  0.11812E+01  0.25618E+01  0.10000E+04  0.10000E+04
  0.80000E-01  0.28969E+01  0.13131E+01  0.25754E+01  0.10000E+04  0.10000E+04
  0.10000E+00  0.30280E+01  0.14280E+01  0.25872E+01  0.10000E+04  0.10000E+04
  0.12000E+00  0.31452E+01  0.15309E+01  0.25977E+01  0.10000E+04  0.10000E+04
  0.14000E+00  0.32520E+01  0.16245E+01  0.26074E+01  0.10000E+04  0.10000E+04
  0.16000E+00  0.33505E+01  0.17109E+01  0.26162E+01  0.10000E+04  0.10000E+04
  0.18000E+00  0.34422E+01  0.17914E+01  0.26245E+01  0.10000E+04  0.10000E+04
  0.20000E+00  0.34880E+01  0.18316E+01  0.26286E+01  0.10000E+04  0.10000E+04
  0.22000E+00  0.35266E+01  0.18654E+01  0.26321E+01  0.10000E+04  0.10000E+04
  0.24000E+00  0.35626E+01  0.18970E+01  0.26353E+01  0.10000E+04  0.10000E+04
  0.26000E+00  0.35963E+01  0.19266E+01  0.26384E+01  0.10000E+04  0.10000E+04
  0.28000E+00  0.36281E+01  0.19544E+01  0.26412E+01  0.10000E+04  0.10000E+04
  0.30000E+00  0.36581E+01  0.19808E+01  0.26439E+01  0.10000E+04  0.10000E+04
  0.32000E+00  0.36866E+01  0.20058E+01  0.26465E+01  0.10000E+04  0.10000E+04
  0.34000E+00  0.37138E+01  0.20296E+01  0.26490E+01  0.10000E+04  0.10000E+04
  0.36000E+00  0.37397E+01  0.20524E+01  0.26513E+01  0.10000E+04  0.10000E+04
  0.38000E+00  0.37645E+01  0.20741E+01  0.26535E+01  0.10000E+04  0.10000E+04
  0.40000E+00  0.37883E+01  0.20950E+01  0.26557E+01  0.10000E+04  0.10000E+04
  0.42000E+00  0.38112E+01  0.21151E+01  0.26577E+01  0.10000E+04  0.10000E+04
  0.44000E+00  0.38332E+01  0.21344E+01  0.26597E+01  0.10000E+04  0.10000E+04
  0.46000E+00  0.38545E+01  0.21531E+01  0.26616E+01  0.10000E+04  0.10000E+04
  0.48000E+00  0.38751E+01  0.21711E+01  0.26635E+01  0.10000E+04  0.10000E+04
  0.50000E+00  0.38950E+01  0.21886E+01  0.26653E+01  0.10000E+04  0.10000E+04
  0.52000E+00  0.39142E+01  0.22055E+01  0.26670E+01  0.10000E+04  0.10000E+04
  0.54000E+00  0.39329E+01  0.22219E+01  0.26687E+01  0.10000E+04  0.10000E+04
  0.56000E+00  0.39511E+01  0.22378E+01  0.26703E+01  0.10000E+04  0.10000E+04
  0.58000E+00  0.39687E+01  0.22533E+01  0.26719E+01  0.10000E+04  0.10000E+04
  0.60000E+00  0.39859E+01  0.22683E+01  0.26735E+01  0.10000E+04  0.10000E+04
  0.62000E+00  0.40026E+01  0.22830E+01  0.26750E+01  0.10000E+04  0.10000E+04
  0.64000E+00  0.40189E+01  0.22973E+01  0.26765E+01  0.10000E+04  0.10000E+04
  0.66000E+00  0.40348E+01  0.23113E+01  0.26779E+01  0.10000E+04  0.10000E+04
  0.68000E+00  0.40504E+01  0.23249E+01  0.26793E+01  0.10000E+04  0.10000E+04
  0.70000E+00  0.40655E+01  0.23382E+01  0.26807E+01  0.10000E+04  0.10000E+04
  0.72000E+00  0.40804E+01  0.23512E+01  0.26820E+01  0.10000E+04  0.10000E+04
  0.74000E+00  0.40949E+01  0.23639E+01  0.26833E+01  0.10000E+04  0.10000E+04
  0.76000E+00  0.41091E+01  0.23764E+01  0.26846E+01  0.10000E+04  0.10000E+04
  0.78000E+00  0.41230E+01  0.23886E+01  0.26858E+01  0.10000E+04  0.10000E+04
  0.80000E+00  0.41366E+01  0.24005E+01  0.26871E+01  0.10000E+04  0.10000E+04
  0.82000E+00  0.41500E+01  0.24123E+01  0.26883E+01  0.10000E+04  0.10000E+04
  0.84000E+00  0.41631E+01  0.24238E+01  0.26894E+01  0.10000E+04  0.10000E+04
  0.86000E+00  0.41759E+01  0.24350E+01  0.26906E+01  0.10000E+04  0.10000E+04
  0.88000E+00  0.41886E+01  0.24461E+01  0.26917E+01  0.10000E+04  0.10000E+04
  0.90000E+00  0.42010E+01  0.24570E+01  0.26929E+01  0.10000E+04  0.10000E+04
  0.92000E+00  0.42131E+01  0.24677E+01  0.26940E+01  0.10000E+04  0.10000E+04
  0.94000E+00  0.42251E+01  0.24782E+01  0.26950E+01  0.10000E+04  0.10000E+04
  0.96000E+00  0.42369E+01  0.24885E+01  0.26961E+01  0.10000E+04  0.10000E+04
  0.98000E+00  0.42485E+01  0.24986E+01  0.26971E+01  0.10000E+04  0.10000E+04
  0.10000E+01  0.42598E+01  0.25086E+01  0.26982E+01  0.10000E+04  0.10000E+04
  0.10200E+01  0.42711E+01  0.25185E+01  0.26992E+01  0.10000E+04  0.10000E+04
  0.10400E+01  0.42821E+01  0.25282E+01  0.27002E+01  0.10000E+04  0.10000E+04
  0.10600E+01  0.42930E+01  0.25377E+01  0.27011E+01  0.10000E+04  0.10000E+04
  0.10800E+01  0.43037E+01  0.25471E+01  0.27021E+01  0.10000E+04  0.10000E+04
  0.11000E+01  0.43142E+01  0.25563E+01  0.27031E+01  0.10000E+04  0.10000E+04
  0.11200E+01  0.43246E+01  0.25655E+01  0.27040E+01  0.10000E+04  0.10000E+04
  0.11400E+01  0.43349E+01  0.25745E+01  0.27049E+01  0.10000E+04  0.10000E+04
  0.11600E+01  0.43450E+01  0.25833E+01  0.27058E+01  0.10000E+04  0.10000E+04
  0.11800E+01  0.43550E+01  0.25921E+01  0.27067E+01  0.10000E+04  0.10000E+04
  0.12000E+01  0.43692E+01  0.26007E+01  0.27076E+01  0.10000E+04  0.10000E+04
  0.12200E+01  0.43835E+01  0.26092E+01  0.27085E+01  0.10000E+04  0.10000E+04
  0.12400E+01  0.43976E+01  0.26176E+01  0.27094E+01  0.10000E+04  0.10000E+04
  0.12600E+01  0.44116E+01  0.26259E+01  0.27102E+01  0.10000E+04  0.10000E+04
  0.12800E+01  0.44253E+01  0.26341E+01  0.27111E+01  0.10000E+04  0.10000E+04
  0.13000E+01  0.44389E+01  0.26422E+01  0.27119E+01  0.10000E+04  0.10000E+04
  0.13200E+01  0.44523E+01  0.26502E+01  0.27127E+01  0.10000E+04  0.10000E+04
  0.13400E+01  0.44656E+01  0.26581E+01  0.27135E+01  0.10000E+04  0.10000E+04
  0.13600E+01  0.44787E+01  0.26659E+01  0.27143E+01  0.10000E+04  0.10000E+04
